,dutch_name,latin_name,english_name,species_key,ebird_code
170,Roodborsttapuit,Saxicola rubicola,European Stonechat,4408759,stonec4
171,Tapuit,Oenanthe oenanthe,Northern Wheatear,5231240,norwhe
172,Grote Lijster,Turdus viscivorus,Mistle Thrush,2490774,misthr1
173,Sprinkhaanzanger,Locustella naevia,Common Grasshopper Warbler,2493548,cogwar1
174,Snor,Locustella luscinioides,Savi's Warbler,2493551,savwar1
175,Rietzanger,Acrocephalus schoenobaenus,Sedge Warbler,2493129,sedwar1
176,Grote Karekiet,Acrocephalus arundinaceus,Great Reed Warbler,2493128,grrwar1
177,Spotvogel,Hippolais icterina,Icterine Warbler,2493220,ictwar1
178,Braamsluiper,Curruca curruca,Lesser Whitethroat,11034996,leswhi1
179,Fluiter,Phylloscopus sibilatrix,Wood Warbler,8128385,woowar
180,Vuurgoudhaan,Regulus ignicapilla,Common Firecrest,6093527,firecr1
181,Grauwe Vliegenvanger,Muscicapa striata,Spotted Flycatcher,2492576,spofly1
182,Bonte Vliegenvanger,Ficedula hypoleuca,European Pied Flycatcher,2492606,eupfly1
183,Baardman,Panurus biarmicus,Bearded Reedling,2493367,bearee1
184,Staartmees,Aegithalos caudatus,Long-tailed Tit,2495000,lottit1
185,Glanskop,Poecile palustris,Marsh Tit,2487843,martit2
186,Matkop,Poecile montanus,Willow Tit,2487866,wiltit1
187,Kuifmees,Lophophanes cristatus,European Crested Tit,2487883,cretit2
188,Wielewaal,Oriolus oriolus,Eurasian Golden Oriole,2488949,eugori2
189,Bonte Kraai,Corvus cornix,Hooded Crow,2482515,hoocro1
190,Raaf,Corvus corax,Northern Raven,2482492,comrav
191,Keep,Fringilla montifringilla,Brambling,2494441,brambl
192,Sijs,Spinus spinus,Eurasian Siskin,6092830,eursis
193,Grote Barmsijs,Acanthis flammea,Common Redpoll,5231630,comred
194,Kleine Barmsijs,Acanthis cabaret,Lesser Redpoll,6871058,lesred1
195,Kruisbek,Loxia curvirostra,Red Crossbill,9629160,redcro
196,Goudvink,Pyrrhula pyrrhula,Eurasian Bullfinch,2494543,eurbul
197,Appelvink,Coccothraustes coccothraustes,Hawfinch,2494329,hawfin
198,Geelgors,Emberiza citrinella,Yellowhammer,2491534,yellow2
199,Parelduiker,Gavia arctica,Black-throated Loon,2481959,arcloo
200,Kuifduiker,Podiceps auritus,Horned Grebe,2482059,horgre
201,Grauwe Pijlstormvogel,Ardenna grisea,Sooty Shearwater,8249990,sooshe
202,Noordse Pijlstormvogel,Puffinus puffinus,Manx Shearwater,5229380,manshe
203,Vaal Stormvogeltje,Hydrobates leucorhous,Leach's Storm Petrel,9461262,lcspet
204,Kuifaalscholver,Phalacrocorax aristotelis,European Shag,10943800,eursha1
205,Kleine Zilverreiger,Egretta garzetta,Little Egret,2480876,litegr
206,Zwarte Ooievaar,Ciconia nigra,Black Stork,2481909,blasto1
207,Heilige Ibis,Threskiornis aethiopicus,African Sacred Ibis,2480764,sacibi1
208,Chileense Flamingo,Phoenicopterus chilensis,Chilean Flamingo,2481110,chifla1
209,Zwarte Zwaan,Cygnus atratus,Black Swan,2498344,blkswa
210,Zwaangans,Anser cygnoides,Swan Goose,2498034,swagoo1
211,Sneeuwgans,Anser caerulescens,Snow Goose,2498167,snogoo
212,Roodhalsgans,Branta ruficollis,Red-breasted Goose,5232451,rebgoo1
213,Casarca,Tadorna ferruginea,Ruddy Shelduck,2498015,rudshe
214,Carolina-eend,Aix sponsa,Wood Duck,2498387,wooduc
215,Mandarijneend,Aix galericulata,Mandarin Duck,2498388,manduc
216,Bahamapijlstaart,Anas bahamensis,White-cheeked Pintail,2498090,whcpin
